,sale_Id,Sales Person,Country,Product,Date,Amount ($),Boxes Shipped
0,374,Lucas Verma,Canada,Aloe Vera Gel,30-04-2022,7897.13,358
1,375,Ethan Reddy,UK,Aloe Vera Gel,25-01-2022,16376.88,449
2,376,Ananya Gupta,India,Body Butter Cream,22-08-2022,5599.68,264
3,377,Ananya Gupta,New Zealand,Salicylic Acid Cleanser,26-08-2022,2966.47,144
4,378,Sophia Nair,UK,Body Butter Cream,19-05-2022,6828.68,484
5,379,Ananya Gupta,UK,Lip Balm Pack,27-08-2022,2555.95,192
6,380,Ananya Gupta,New Zealand,Hair Repair Oil,29-04-2022,832.92,19
7,381,Sophia Nair,New Zealand,Tea Tree Moisturizer,15-07-2022,997.96,36
8,382,Isabella Roy,New Zealand,Lip Balm Pack,04-02-2022,7754.36,466
9,383,Noah Mehta,India,Aloe Vera Gel,16-05-2022,5507.19,176
10,384,Olivia D'Souza,Australia,Body Butter Cream,27-01-2022,1119.66,87
11,385,Sophia Nair,USA,Face Sheet Masks,02-06-2022,6853.59,384
12,386,Ava Sharma,USA,Hair Repair Oil,06-04-2022,12147.98,254
13,387,Lucas Verma,new Zealand,Aloe Vera Gel,26-07-2022,923.46,79
14,388,Ava Sharma,Canada,Salicylic Acid Cleanser,10-01-2022,442.07,24
15,389,Liam Patel,Canada,Aloe Vera Gel,04-01-2022,3900.37,83
16,390,Ava Sharma,New Zealand,Hair Repair Oil,02-06-2022,801.63,25
17,391,Isabella Roy,India,Aloe Vera Gel,03-03-2022,10101.78,251
18,392,Sophia Nair,Canada,Vitamin C Cream,29-05-2022,6600.15,417
19,393,Lucas Verma,USA,Niacinamide Toner,28-05-2022,5302.98,258
20,394,Noah Mehta,UK,Under Eye Cream,02-08-2022,6310.09,257
21,395,Noah Mehta,Canada,Hydrating Face Serum,17-07-2022,2369.18,211
22,396,Sophia Nair,UK,Aloe Vera Gel,14-05-2022,16418.97,358
23,397,Olivia D'Souza,New Zealand,Vitamin C Cream,15-01-2022,10774.83,226
24,398,Sophia Nair,Australia,Niacinamide Toner,13-04-2022,5958.48,162
25,399,Olivia D'Souza,New Zealand,Tea Tree Moisturizer,22-07-2022,1194.96,74
26,400,Isabella Roy,Australia,Charcoal Face Wash,11-04-2022,314.68,18
27,401,Mason Kapoor,Australia,Anti-Aging Serum,18-06-2022,1442.65,91
28,402,Liam Patel,USA,Under Eye Cream,12-06-2022,2810.34,78
29,403,Mason Kapoor,UK,Under Eye Cream,13-01-2022,1394.62,57
30,404,Liam Patel,Australia,Niacinamide Toner,02-04-2022,8143.6,213
31,405,Mason Kapoor,UK,Body Butter Cream,10-07-2022,12885.94,340
32,406,Liam Patel,Canada,Lip Balm Pack,03-08-2022,16223.13,362
33,407,Noah Mehta,UK,Face Sheet Masks,18-03-2022,8330.47,217
34,408,Mason Kapoor,New Zealand,Rose Water Toner,19-06-2022,5384.2,290
35,409,Ava Sharma,India,Hydrating Face Serum,07-03-2022,19594.27,450
36,410,Ava Sharma,New Zealand,Vitamin C Cream,27-05-2022,12213.24,266
37,411,Lucas Verma,UK,Hydrating Face Serum,11-05-2022,4242.56,357
38,412,Mason Kapoor,Australia,Face Sheet Masks,20-03-2022,13379.16,498
39,413,Lucas Verma,New Zealand,Tea Tree Moisturizer,25-03-2022,9353.99,246
40,414,Ananya Gupta,New Zealand,Vitamin C Cream,26-08-2022,5032.73,147
41,415,Mason Kapoor,UK,Lip Balm Pack,09-01-2022,3041.08,103
42,416,Ananya Gupta,Canada,Hair Repair Oil,25-03-2022,3258.73,150
43,417,Liam Patel,USA,Anti-Aging Serum,17-05-2022,10452.26,242
44,418,Ethan Reddy,USA,Hydrating Face Serum,29-05-2022,8642.86,298
45,419,Ananya Gupta,India,Rose Water Toner,31-03-2022,2523.86,102
46,420,Ethan Reddy,Canada,Charcoal Face Wash,07-05-2022,11599.9,324
47,421,Liam Patel,New Zealand,SPF 50 Sunscreen,27-05-2022,15606.61,331
48,422,Mason Kapoor,New Zealand,Lip Balm Pack,13-07-2022,9583.51,312
49,423,Noah Mehta,New Zealand,Tea Tree Moisturizer,13-08-2022,10192.85,373
50,424,Olivia D'Souza,USA,Hydrating Face Serum,02-05-2022,21701.44,483
51,425,Sophia Nair,India,Hair Repair Oil,28-08-2022,6496.58,366
52,426,Ananya Gupta,New Zealand,Body Butter Cream,02-02-2022,16383.31,438
53,427,Mason Kapoor,New Zealand,Body Butter Cream,03-06-2022,15834.45,361
54,428,Noah Mehta,UK,Lip Balm Pack,17-05-2022,7501.02,489
55,429,Noah Mehta,UK,Hydrating Face Serum,24-06-2022,922.43,29
56,430,Ananya Gupta,India,Salicylic Acid Cleanser,28-04-2022,6141.45,213
57,431,Noah Mehta,New Zealand,Rose Water Toner,23-03-2022,1745.79,156
58,432,Liam Patel,New Zealand,Charcoal Face Wash,25-03-2022,7268.2,198
59,433,Sophia Nair,UK,SPF 50 Sunscreen,25-04-2022,424.38,30
60,434,Noah Mehta,New Zealand,Body Butter Cream,08-04-2022,10711.79,331
61,435,Noah Mehta,USA,Vitamin C Cream,23-03-2022,8154.9,248
62,436,Ava Sharma,New Zealand,Tea Tree Moisturizer,25-07-2022,5132.41,454
63,437,Isabella Roy,India,Vitamin C Cream,21-03-2022,6538.2,264
